Date,Diner_Booking_Data
2/18/2020,0
2/19/2020,4
2/20/2020,0
2/21/2020,-1
2/22/2020,2
2/23/2020,6
2/24/2020,2
2/25/2020,2
2/26/2020,-1
2/27/2020,-1
2/28/2020,1
2/29/2020,3
3/1/2020,2
3/2/2020,-7
3/3/2020,-9
3/4/2020,-5
3/5/2020,-5
3/6/2020,-6
3/7/2020,-3
3/8/2020,-2
3/9/2020,-14
3/10/2020,-18
3/11/2020,-19
3/12/2020,-28
3/13/2020,-36
3/14/2020,-42
3/15/2020,-48
3/16/2020,-56
3/17/2020,-84
3/18/2020,-91
3/19/2020,-97.54
3/20/2020,-99.35
3/21/2020,-99.89
3/22/2020,-99.93
3/23/2020,-99.97
3/24/2020,-99.97
3/25/2020,-99.98
3/26/2020,-99.98
3/27/2020,-99.99
3/28/2020,-99.98
3/29/2020,-100
3/30/2020,-99.99
3/31/2020,-99.99
4/1/2020,-99.99
4/2/2020,-99.98
4/3/2020,-99.97
4/4/2020,-99.98
4/5/2020,-99.99
4/6/2020,-100
4/7/2020,-99.99
4/8/2020,-99.97
4/9/2020,-100
4/10/2020,-99.97
4/11/2020,-99.98
4/12/2020,-99.99
4/13/2020,-99.99
4/14/2020,-99.99
4/15/2020,-99.97
4/16/2020,-99.96
4/17/2020,-99.97
4/18/2020,-99.97
4/19/2020,-99.98
4/20/2020,-99.99
4/21/2020,-99.97
4/22/2020,-99.97
4/23/2020,-99.98
4/24/2020,-99.97
4/25/2020,-99.97
4/26/2020,-99.99
4/27/2020,-99.89
4/28/2020,-99.9
4/29/2020,-99.91
4/30/2020,-99.86
5/1/2020,-98.81
5/2/2020,-98.97
5/3/2020,-99.16
5/4/2020,-98.04
5/5/2020,-97.98
5/6/2020,-98.02
5/7/2020,-97.75
5/8/2020,-97.06
5/9/2020,-97.12
5/10/2020,-96.86
5/11/2020,-95.67
5/12/2020,-95.62
5/13/2020,-95.31
5/14/2020,-94.94
5/15/2020,-93.55
5/16/2020,-93.03
5/17/2020,-93.64
5/18/2020,-93.66
5/19/2020,-92.63
5/20/2020,-91.62
5/21/2020,-89.83
5/22/2020,-87.31
5/23/2020,-87.04
5/24/2020,-87.88
5/25/2020,-86.84
5/26/2020,-85.57
5/27/2020,-84.57
5/28/2020,-84.35
5/29/2020,-81.62
5/30/2020,-80.98
5/31/2020,-83.01
6/1/2020,-84.18
6/2/2020,-83.48
6/3/2020,-81.16
6/4/2020,-79.66
6/5/2020,-75.46
6/6/2020,-73.9
6/7/2020,-74.08
6/8/2020,-75.14
6/9/2020,-75.29
6/10/2020,-72.32
6/11/2020,-69.94
6/12/2020,-65.02
6/13/2020,-64.63
6/14/2020,-78.06
6/15/2020,-67.47
6/16/2020,-66.18
6/17/2020,-65.2
6/18/2020,-64.08
6/19/2020,-59.97
6/20/2020,-58.8
6/21/2020,-41.37
6/22/2020,-66.47
6/23/2020,-65.36
6/24/2020,-63.89
6/25/2020,-61.59
6/26/2020,-57.99
6/27/2020,-57
6/28/2020,-60.26
6/29/2020,-65.29
6/30/2020,-62.47
7/1/2020,-64.71
7/2/2020,-49.78
7/3/2020,-57.16
7/4/2020,-72.59
7/5/2020,-59.61
7/6/2020,-63.43
7/7/2020,-64.81
7/8/2020,-65.01
7/9/2020,-62.75
7/10/2020,-62.45
7/11/2020,-57.87
7/12/2020,-59.5
7/13/2020,-66.21
7/14/2020,-65.47
7/15/2020,-64.05
7/16/2020,-61.76
7/17/2020,-59.29
